"","Iplant_Double","Month","Year","Transect_R","Hummingbird","Camera","Day","Bird","Plant","Yobs","DateP","ID","Elev","Traitmatch","Flowers","Month.a","jBird","jPlant","jCamera"
"83","Besleria solanoides",9,"2014","1900_2100","Tawny-bellied Hermit","32",1,11,24,0,"2014-09-23","FH1204",NA,2.44,0.197750043944454,"Sep",15,2,32
"84","Besleria solanoides",9,"2014","1900_2100","Violet-tailed Sylph","32",1,14,24,6,"2014-09-23","FH1204",1910,0.001,0.197750043944454,"Sep",16,2,32
"85","Besleria solanoides",9,"2014","1900_2100","Fawn-breasted Brilliant","230",1,12,24,0,"2014-09-10","FH905",NA,0.445,0.197750043944454,"Sep",7,2,230
"86","Besleria solanoides",9,"2014","1900_2100","Tawny-bellied Hermit","230",1,11,24,0,"2014-09-10","FH905",NA,2.44,0.197750043944454,"Sep",15,2,230
"87","Besleria solanoides",9,"2014","1900_2100","Booted Racket-tail","32",1,8,24,0,"2014-09-23","FH1204",NA,0.331,0.197750043944454,"Sep",2,2,32
"88","Besleria solanoides",9,"2014","1900_2100","Purple-bibbed Whitetip","230",1,7,24,0,"2014-09-10","FH905",NA,0.307,0.197750043944454,"Sep",12,2,230
"89","Besleria solanoides",9,"2014","2100_2300","Speckled Hummingbird","78",1,20,24,4,"2014-09-10","FH221",2150,0.119,0.263007558446124,"Sep",13,2,78
"90","Besleria solanoides",9,"2014","2100_2300","Violet-tailed Sylph","78",1,14,24,0,"2014-09-10","FH221",NA,0.001,0.263007558446124,"Sep",16,2,78
"91","Besleria solanoides",9,"2014","2100_2300","Buff-tailed Coronet","78",1,17,24,0,"2014-09-10","FH221",NA,0.065,0.263007558446124,"Sep",4,2,78
"92","Besleria solanoides",9,"2014","2100_2300","Green-fronted Lancebill","78",1,15,24,0,"2014-09-10","FH221",NA,1.636,0.263007558446124,"Sep",10,2,78
"93","Besleria solanoides",9,"2014","2100_2300","Booted Racket-tail","78",1,8,24,1,"2014-09-10","FH221",2150,0.331,0.263007558446124,"Sep",2,2,78
"94","Besleria solanoides",10,"2013","1700_1900","Green-crowned Brilliant","121",1,10,24,0,"2013-10-22","FH501",NA,0.554,0.83181969102166,"Oct",9,2,121
"95","Besleria solanoides",10,"2013","1700_1900","Violet-tailed Sylph","121",1,14,24,1,"2013-10-22","FH501",1810,0.001,0.83181969102166,"Oct",16,2,121
"96","Besleria solanoides",10,"2013","1700_1900","Purple-bibbed Whitetip","121",1,7,24,0,"2013-10-22","FH501",NA,0.307,0.83181969102166,"Oct",12,2,121
