"MorphID","SpID","Sex","N","ExpC","Peso","Acom","TotC","AlCdo","PrfP","AlAnc","AlLgo","Rasp","Rform","WiLo","Wtap","AlArea","ColaL","PataE","TarsL","UnaL","PsoSD","ExpCSD","AcomSD","TotCSD","AlCdoSD","PrfPSD","AlAncSD","AlLgoSD","RaspSD","RformSD","WiLoSD","WtapSD","AlAreaSD","ColaLSD","PataESD","TarsLSD","UnaLSD","ReferenceID","LocalityID","MuseumID","Notes","Subspeciesname","spname"
40,79,"Macho",24,16.97,3.58,4.58,19.5,39.67,1.45,13.8,43.37,7.72,3.14,0.36,0.22,4.87,25.2,8.9,4.32,2.15,0.16,0.51,0.23,0.73,0.81,0.11,0.35,0.78,0.23,0.08,0.01,0.02,0.15,1.21,0.31,0.11,0.12,183,598,1,"",NA,"Chaetocercus.mulsant"
41,110,"Macho",17,12.37,3.73,5.19,16.04,54.71,1.73,18.02,60.24,8.3,3.34,0.21,0.24,8.74,31.35,9.32,4.71,2.09,0.14,0.74,0.19,1.37,0.92,0.1,0.55,1.38,0.19,0.07,0.00916329870485317,0.03,0.28,1.34,0.43,0.18,0.2,183,598,1,"",NA,"Chrysolampis.mosquitus"
42,119,"Macho",25,28.88,6.77,5.91,31.74,75.65,2.01,28.41,84.72,7.64,2.98,0.18,0.28,18.77,44.82,11.78,5.66,3.34,0.16,0.74,0.29,0.76,1.55,0.08,0.79,2.23,0.26,0.07,0.00645355444514201,0.03,0.6,1.44,0.39,0.24,0.17,183,598,1,"",NA,"Coeligena.bonapartei"
43,113,"Macho",18,29.01,6.75,6.36,32.23,72.74,2.18,27.51,81.65,7.53,2.96,0.19,0.26,17.69,46.42,11.35,5.9,3.45,0.26,1.1,0.3,1.63,1.54,0.16,1.05,2.95,0.27,0.07,0.01,0.04,0.82,2.37,0.53,0.29,0.19,183,598,1,"",NA,"Coeligena.coeligena"
44,120,"Macho",19,28.61,6.97,6.52,32.37,73.26,2.13,27.94,82.18,7.46,2.94,0.19,0.26,18.09,45.75,11.81,6.06,3.42,0.31,1.28,0.3,1.63,1.42,0.13,0.77,1.83,0.2,0.06,0.0086304675001077,0.02,0.46,1.62,0.33,0.24,0.17,183,598,1,"",NA,"Coeligena.helianthea"
45,121,"Macho",8,30.88,7.57,6.41,35.38,75.48,2.23,28.55,83.78,7.35,2.93,0.19,0.25,19.1,47.3,12.08,6.01,3.62,0.58,1.56,0.33,1.89,2.06,0.13,1.02,1.85,0.16,0.06,0.00778663912666383,0.01,1.08,1.5,0.39,0.27,0.26,183,598,1,"",NA,"Coeligena.lutetiae"
46,118,"Macho",2,32.15,7.07,6.95,35.75,74.9,2.6,28.5,86.3,7.9,3.02,0.18,0.3,18.84,44.15,12.15,6.25,3.37,0.17,0.63,0.21,0.07,0.28,0.14,0.42,0.28,0.01,0.05,0.00300030770038513,0.02,0.16,0.35,0.21,0.07,0.03,183,598,1,"",NA,"Coeligena.orina"
47,117,"Macho",3,28.03,6.85,6.2,31.63,75.06,2.2,27.56,83.46,7.69,3.02,0.18,0.27,18.1,44.56,11.6,5.46,3.43,0.05,0.51,0.26,1,0.9,0.1,0.65,2.15,0.23,0.02,0.00397825281598406,0.03,0.4,2.74,0.34,0.11,0.25,183,598,1,"",NA,"Coeligena.phalerata"
48,115,"Macho",14,27.98,7.4,6.63,30.99,77.29,2.27,29.34,87.72,7.91,2.99,0.19,0.32,19.46,48.29,11.82,5.66,3.28,0.28,0.57,0.18,0.85,1.64,0.13,0.83,1.82,0.28,0.08,0.00723403012096864,0.04,0.32,1.95,0.31,0.21,0.21,183,598,1,"",NA,"Coeligena.prunellei"
49,116,"Macho",18,32.41,7.58,6.27,36.03,78.7,2.23,29.46,87.23,7.66,2.96,0.19,0.29,19.87,45.86,11.92,5.85,3.57,0.35,1.35,0.42,1.38,1.76,0.17,1.01,2.68,0.27,0.08,0.00949599910002143,0.04,0.92,1.6,0.39,0.27,0.19,183,598,1,"",NA,"Coeligena.torquata"
50,114,"Macho",12,33.56,7.01,6.62,36.83,70.9,2.4,27.61,79.56,7.4,2.88,0.2,0.28,17.09,41.46,11.9,5.86,3.47,0.3,1.55,0.62,1.33,1.85,0.18,0.95,2.33,0.2,0.06,0.01,0.04,0.7,1.7,0.45,0.31,0.2,183,598,1,"",NA,"Coeligena.wilsoni"
51,126,"Macho",25,24.42,8.21,6.27,28.29,78.57,2.33,28.53,87.45,7.82,3.06,0.21,0.27,19.56,48.48,12.1,6.08,3.06,0.34,0.83,0.27,1.22,1.81,0.13,0.87,2.22,0.26,0.09,0.01,0.03,0.86,2.22,0.44,0.23,0.22,183,598,1,"",NA,"Colibri.coruscans"
52,124,"Macho",15,17.35,7.03,6.39,20.68,73.81,2.21,26.02,82.07,8.18,3.15,0.21,0.29,16.47,41.34,11.68,5.77,2.77,0.34,0.53,0.28,0.86,2.07,0.14,0.75,2.56,0.24,0.07,0.01,0.03,0.74,1.48,0.46,0.22,0.17,183,598,1,"",NA,"Colibri.delphinae"
53,125,"Macho",20,20.88,5.5,5.61,23.04,67.4,1.99,24.27,74.27,7.52,3.06,0.18,0.22,14.67,41.53,11.14,5.44,2.82,0.32,2.16,0.18,1.19,1.37,0.15,0.79,2.16,0.32,0.07,0.01,0.04,0.56,1.86,0.36,0.24,0.18,183,598,1,"",NA,"Colibri.thalassinus"
54,131,"Macho",10,14.44,3.21,4.64,16.19,44.02,1.69,15.4,49.42,7.77,3.21,0.25,0.21,6.28,29.9,9.18,4.56,2.26,0.14,0.4,0.13,0.59,0.82,0.07,0.43,1.15,0.16,0.07,0.00949925713563073,0.02,0.2,1.17,0.18,0.19,0.12,183,598,1,"",NA,"Damophila.julie"
55,132,"Macho",5,12,2.65,3.6,13.34,42.56,1.3,13.5,45.4,8.05,3.36,0.25,0.19,5.12,54.74,9.3,4.5,2.46,0.11,0.43,0.17,0.61,1.85,0.07,0.62,1.77,0.3,0.13,0.01,0.05,0.33,3.62,0.07,0.23,0.41,183,598,1,"",NA,"Discosura.conversii"
56,134,"Macho",2,12.9,2.87,3.95,14.1,34.7,1.3,12.4,37.8,7.17,3.04,0.36,0.17,3.98,46.1,9.9,4.35,2.65,0.03,0.56,0.07,0.7,1.13,0,0.42,2.4,0.51,0.08,0.01,0.05,0.21,28.84,0.14,0.21,0.07,183,598,1,"",NA,"Discosura.langsdorffi"
57,140,"Macho",10,27.71,4.38,5.41,29.34,54.99,1.82,20.64,61.4,7.19,2.97,0.2,0.2,10.48,30.39,10.14,5.01,2.7,0.17,1.21,0.17,1.21,1.18,0.09,0.67,1.89,0.3,0.11,0.01,0.03,0.3,1.63,0.25,0.14,0.17,183,598,1,"",NA,"Doryfera.johannae"
58,139,"Macho",22,32.59,6.01,5.93,34.43,61.36,2,23.45,68.45,7.4,2.91,0.23,0.26,12.66,33.19,11.26,5.71,3.07,0.42,2.16,0.32,2.34,1.81,0.15,1.05,2.55,0.32,0.07,0.01,0.05,0.67,1.24,0.37,0.24,0.27,183,598,1,"",NA,"Doryfera.ludovicae"
59,143,"Macho",4,77.87,9.67,7.85,83.92,76.82,2.7,28.22,87.02,7.93,3.08,0.25,0.28,19.14,57.95,14.4,6.8,4.02,0.56,3.01,0.21,2.66,1.44,0,1.46,4.74,0.32,0.16,0.01,0.03,2.16,3.37,0.18,0.21,0.17,183,598,1,"",NA,"Ensifera.ensifera"
60,159,"Macho",9,20.91,8.59,6.95,23.88,73.84,2.42,27.53,85.15,7.2,3.09,0.42,0.16,20.14,86.46,12.63,6.15,3.2,0.32,0.77,0.26,0.89,1.08,0.07,0.62,1.62,0.18,0.03,0.02,0.02,0.71,2.49,0.34,0.15,0.23,183,598,1,"",NA,"Eupetomena.macroura"
61,154,"Macho",6,17.08,3.46,4.86,19.2,50.51,1.6,18.9,55.26,7.05,2.92,0.2,0.2,8.66,30.56,9.8,4.98,2.78,0.17,0.72,0.2,0.42,1.07,0.1,0.48,1.33,0.2,0.03,0.00497379844876019,0.03,0.42,1.46,0.27,0.18,0.21,183,598,1,"",NA,"Eriocnemis.alinae"
